product_name,part_number,brand,category,vehicle_compatibility,material,weight_kg,price_retail,price_wholesale,stock_qty,condition,oem_number,key_features,notes
Filter Oli Mitsubishi 4D31,ME074013,Mitsubishi,Filter Oli,Mitsubishi Canter 4D31/4D34,Kertas,0.45,Rp 90.000,Rp 72.000,25,Baru,ME074013L000,"Bypass valve included, Anti-drainback valve",
Filter Solar Mitsubishi Canter,ME222135,Mitsubishi,Filter Solar,Mitsubishi Canter FE71/FE83 2005-2020,Karet+Kertas,0.32,Rp 70.000,Rp 56.000,22,Baru,ME222135L000,"Water separator, Spin-on type",
Filter Udara Mitsubishi Canter,ME017246,Mitsubishi,Filter Udara,Mitsubishi Canter FE71/PS125 2005-2020,Kertas+Metal,0.75,Rp 140.000,Rp 112.000,16,Baru,ME017246L000,"High capacity, Extended service interval",
Oli Mesin Mitsubishi 15W-40,MITS1540,Mitsubishi,Oli Mesin,Mitsubishi Canter diesel,Mineral,20,Rp 720.000,Rp 576.000,9,Baru,M154020L,"SAE 15W-40, API CF-4, 20 liter",
Kampas Rem Depan Toyota Dyna,TYND700,Toyota,Kampas Rem,Toyota Dyna Rino 110/130 2003-2018,Asbestos-free,2.4,Rp 240.000,Rp 192.000,8,Baru,04465-37030,"Toyota genuine quality, Asbestos-free compound",
Kampas Rem Belakang Toyota Dyna,TYNB800,Toyota,Kampas Rem,Toyota Dyna Rino 110/130 2003-2018,Non-asbestos,2.0,Rp 220.000,Rp 176.000,11,Baru,04495-37040,"Original Toyota, Long service life",
Filter Oli Toyota Dyna 14B,15600-43010,Toyota,Filter Oli,Toyota Dyna Rino 14B 2003-2018,Kertas,0.48,Rp 100.000,Rp 80.000,30,Baru,15600-43010L000,"Toyota genuine, Built-in safety valve",
Filter Solar Toyota Dyna,23300-64090,Toyota,Filter Solar,Toyota Dyna Rino 110/130 2003-2018,Metal+Karet,0.38,Rp 80.000,Rp 64.000,28,Baru,23300-64090L000,"Sedimenter collector, Bowl type",
Filter Udara Toyota Dyna,17801-54050,Toyota,Filter Udara,Toyota Dyna Rino 2003-2018,Kertas+Metal,0.72,Rp 130.000,Rp 104.000,19,Baru,17801-54050L000,"Donaldson media, Heavy duty element",
Tie Rod End Hino Dutro,TE-03,Hino,Steering,Hino Dutro 300 2008-2024,Steel+Rubber,0.9,Rp 185.000,Rp 148.000,7,Baru,45420-37021,"Ball joint included, Grease fitting, OEM spec",
Ball Joint Hino Dutro,BALL-04,Hino,Suspension,Hino Dutro 300 2008-2024,Steel,1.2,Rp 325.000,Rp 260.000,5,Baru,43340-29225,"Upper arm assembly, With cover boot",
Shock Breaker Depan Hino FRLong,SHD-06,Hino,Suspension,Hino Ranger FRLong 2005-2020,Hydraulic+Oil,3.8,Rp 850.000,Rp 680.000,4,Baru,S4850014,"Gas filled, Heavy duty, 1 year warranty",
Shock Breaker Belakang Hino Dutro,SHB-07,Hino,Suspension,Hino Dutro 300 2008-2024,Hydraulic,3.2,Rp 720.000,Rp 576.000,6,Baru,S4850038,"Twin tube design, NOK seal Japan",
Bearing Roda Depan Hino Dutro,BRD-08,Hino,Bearing,Hino Dutro 300 2008-2024,Chrome Steel,1.5,Rp 195.000,Rp 156.000,10,Baru,90080-36087,"NSK type, Sealed bearing, Pre-lubed",
Bearing Roda Belakang Hino,BRB-09,Hino,Bearing,Hino Ranger FG260 2005-2020,Steel,2.8,Rp 245.000,Rp 196.000,8,Baru,90363-40020,"Tapered roller bearing, High load capacity",
Master Rem Hino Dutro,MR-10,Hino,Brake System,Hino Dutro 300 2008-2024,Aluminum,1.8,Rp 650.000,Rp 520.000,5,Baru,47201-37050,"Master cylinder assembly, 19.05mm bore",
Slave Cylinder Hino Dutro,SC-11,Hino,Clutch,Hino Dutro 300 2008-2024,Aluminum+Steel,1.4,Rp 485.000,Rp 388.000,6,Baru,31470-37040,"Push type, 38.1mm diameter",
Kopling Set Hino Dutro,KOP-12,Hino,Transmission,Hino Dutro 300 2008-2024,Organic+Steel,4.5,Rp 1.850.000,Rp 1.480.000,3,Baru,HKD3001,"Clutch cover + disc + bearing, 300mm diameter",
Tie Rod End Isuzu NKR71,TE-I03,Isuzu,Steering,Isuzu NKR71 2010-2022,Steel,0.85,Rp 175.000,Rp 140.000,9,Baru,8-97146-683-0,"Ball joint assembly, Rubber boot included",
Ball Joint Isuzu NKR,BJ-I04,Isuzu,Suspension,Isuzu NKR/NPR 2010-2022,Steel,1.1,Rp 295.000,Rp 236.000,7,Baru,8-94459-462-2,"Lower arm, Greaseable type",
Shock Breaker Isuzu NKR Depan,SHD-I05,Isuzu,Suspension,Isuzu NKR/NQR 2010-2022,Hydraulic,3.5,Rp 780.000,Rp 624.000,5,Baru,SHN-03,"Gas filled, Chrome rod, 1 year warranty",
Shock Breaker Isuzu NKR Belakang,SHB-I06,Isuzu,Suspension,Isuzu NKR/NHR 2010-2022,Hydraulic+Gas,3.0,Rp 695.000,Rp 556.000,6,Baru,SHB-029,"Twin tube, Heavy duty bushing",
Bearing Roda Depan Isuzu NKR,BRD-I07,Isuzu,Bearing,Isuzu NKR/NPR 2010-2022,Steel,1.4,Rp 185.000,Rp 148.000,11,Baru,8944457010,"SKF type, Sealed unit bearing",
Bearing Roda Belakang Isuzu,BRB-I08,Isuzu,Bearing,Isuzu NKR71/NQR 2010-2022,Chrome Steel,2.5,Rp 220.000,Rp 176.000,9,Baru,8971229370,"Roller bearing, High temp grease",
Master Rem Isuzu NKR,MR-I09,Isuzu,Brake System,Isuzu NKR/NPR 2010-2022,Aluminum Alloy,1.6,Rp 595.000,Rp 476.000,6,Baru,8973555150,"Tandem master cylinder, 20.64mm",
Slave Cylinder Isuzu NKR,SC-I10,Isuzu,Clutch,Isuzu NKR/NPR 2010-2022,Aluminum,1.3,Rp 465.000,Rp 372.000,7,Baru,8973555120,"Concentric slave cylinder, Pre-filled",
Kopling Set Isuzu NKR71,KOP-I11,Isuzu,Transmission,Isuzu NKR71 2010-2022,Organic,4.2,Rp 1.650.000,Rp 1.320.000,4,Baru,ISK3001,"Cover + disc + release bearing, 300mm",
Tie Rod End Mitsubishi Canter FE71,TE-M03,Mitsubishi,Steering,Mitsubishi Canter FE71/PS110 2005-2020,Steel+Rubber,0.88,Rp 165.000,Rp 132.000,8,Baru,MC113006,"Steering link, Grease nipple included",
Ball Joint Mitsubishi Canter,BJ-M04,Mitsubishi,Suspension,Mitsubishi Canter FE71/PS125 2005-2020,Steel+Iron,1.15,Rp 285.000,Rp 228.000,6,Baru,MB633926,"Upper control arm, Dust cover",
Shock Breaker Mitsubishi Canter Depan,SHD-M05,Mitsubishi,Suspension,Mitsubishi Canter FE71/PS125 2005-2020,Hydraulic+Gas,3.2,Rp 720.000,Rp 576.000,7,Baru,MC113336,"Oil-gas hybrid, Rubber bush included",
Shock Breaker Mitsubishi Canter Belakang,SHB-M06,Mitsubishi,Suspension,Mitsubishi Canter PS110/125 2005-2020,Hydraulic,2.8,Rp 640.000,Rp 512.000,8,Baru,MC897722,"Heavy load type, Bushing kit included",
Bearing Roda Depan Mitsubishi Canter,BRD-M07,Mitsubishi,Bearing,Mitsubishi Canter FE71/PS125 2005-2020,Chrome Steel,1.35,Rp 165.000,Rp 132.000,13,Baru,MB413639,"Front wheel bearing, Sealed type",
Bearing Roda Belakang Mitsubishi,BRB-M08,Mitsubishi,Bearing,Mitsubishi Canter PS110/125 2005-2020,Steel,2.3,Rp 195.000,Rp 156.000,10,Baru,MB413640,"Rear axle bearing, Taper design",
Master Rem Mitsubishi Canter,MR-M09,Mitsubishi,Brake System,Mitsubishi Canter FE71/PS125 2005-2020,Aluminum,1.55,Rp 585.000,Rp 468.000,6,Baru,MC112618,"Master cylinder, Reservoir included",
Slave Cylinder Mitsubishi Canter,SC-M10,Mitsubishi,Clutch,Mitsubishi Canter FE71/PS125 2005-2020,Aluminum+Steel,1.25,Rp 445.000,Rp 356.000,7,Baru,MC113500,"Clutch slave, Push rod included",
Kopling Set Mitsubishi Canter,KOP-M11,Mitsubishi,Transmission,Mitsubishi Canter FE71/PS125 2005-2020,Organic+Spring,4.0,Rp 1.450.000,Rp 1.160.000,5,Baru,MKC3001,"Complete set 300mm, Exedy clone",
Tie Rod End Toyota Dyna Rino,TE-T03,Toyota,Steering,Toyota Dyna Rino 110/130 2003-2018,Steel,0.9,Rp 155.000,Rp 124.000,9,Baru,45046-37120,"Rack end, Ball joint, OEM quality",
Ball Joint Toyota Dyna,BJ-T04,Toyota,Suspension,Toyota Dyna Rino 110/130 2003-2018,Steel,1.18,Rp 265.000,Rp 212.000,8,Baru,43350-29125,"Lower ball joint, Dust seal included",
Shock Breaker Toyota Dyna Depan,SHD-T05,Toyota,Suspension,Toyota Dyna Rino 110/130 2003-2018,Hydraulic,3.0,Rp 695.000,Rp 556.000,6,Baru,48531-37070,"Oil type, Smooth damping, High durability",
Shock Breaker Toyota Dyna Belakang,SHB-T06,Toyota,Suspension,Toyota Dyna Rino 110/130 2003-2018,Hydraulic+Gas,2.7,Rp 615.000,Rp 492.000,7,Baru,48530-37030,"Rear twin tube, Heavy duty spring",
Bearing Roda Depan Toyota Dyna,BRD-T07,Toyota,Bearing,Toyota Dyna Rino 110/130 2003-2018,Steel,1.3,Rp 145.000,Rp 116.000,14,Baru,90363-40066,"Front wheel, Sealed bearing Japan",
Bearing Roda Belakang Toyota,BRB-T08,Toyota,Bearing,Toyota Dyna Rino 110/130 2003-2018,Chrome Steel,2.1,Rp 175.000,Rp 140.000,12,Baru,90363-40071,"Rear axle, Taper bearing set",
Master Rem Toyota Dyna,MR-T09,Toyota,Brake System,Toyota Dyna Rino 110/130 2003-2018,Aluminum,1.5,Rp 550.000,Rp 440.000,7,Baru,47201-37080,"Master assy, Brake fluid reservoir",
Slave Cylinder Toyota Dyna,SC-T10,Toyota,Clutch,Toyota Dyna Rino 110/130 2003-2018,Aluminum,1.2,Rp 395.000,Rp 316.000,8,Baru,31470-37070,"Clutch release, Pre-adjusted",
Kopling Set Toyota Dyna,KOP-T11,Toyota,Transmission,Toyota Dyna Rino 110/130 2003-2018,Organic,3.8,Rp 1.350.000,Rp 1.080.000,5,Baru,TKD3001,"Cover + plate + bearing, 275mm",
Selang Rem Depan Hino Dutro,SRD-H01,Hino,Brake Hose,Hino Dutro 300 2008-2024,Karet+Baja,0.6,Rp 125.000,Rp 100.000,20,Baru,90923-02121,"Flexible brake hose, DOT approved",
Selang Rem Belakang Isuzu NKR,SRB-I01,Isuzu,Brake Hose,Isuzu NKR/NPR 2010-2022,Karet+Steel,0.55,Rp 115.000,Rp 92.000,22,Baru,8972227090,"Rear brake line, SAE J1401",
Kabel Kopling Hino Dutro,KK-H01,Hino,Clutch Cable,Hino Dutro 300 2008-2024,Steel+Karet,0.8,Rp 195.000,Rp 156.000,15,Baru,33820-37040,"Clutch release cable, Inner wire stainless",
Kabel Kopling Isuzu NKR71,KK-I01,Isuzu,Clutch Cable,Isuzu NKR71 2010-2022,Steel,0.75,Rp 185.000,Rp 148.000,18,Baru,8973589080,"Isuzu genuine type, Wire coating",
Kabel Kopling Mitsubishi Canter,KK-M01,Mitsubishi,Clutch Cable,Mitsubishi Canter FE71/PS125 2005-2020,Steel+Plastic,0.72,Rp 175.000,Rp 140.000,20,Baru,MC113550,"Mitsubishi type, Teflon coated",
Kabel Kopling Toyota Dyna,KK-T01,Toyota,Clutch Cable,Toyota Dyna Rino 110/130 2003-2018,Steel+Rubber,0.68,Rp 165.000,Rp 132.000,25,Baru,33820-37070,"Toyota genuine spec, Low friction",
Lampu Stop Hino Dutro,LS-H01,Hino,Lampu,Hino Dutro 300 2008-2024,ABS+Glass,0.4,Rp 285.000,Rp 228.000,12,Baru,815600-5780,"Taillight assembly, Red lens, Includes bulb",
Lampu Stop Isuzu NKR,LS-I01,Isuzu,Lampu,Isuzu NKR/NPR 2010-2022,Plastic,0.38,Rp 275.000,Rp 220.000,14,Baru,8971948760,"Isuzu rear lamp, Waterproof seal",
Lampu Stop Mitsubishi Canter,LS-M01,Mitsubishi,Lampu,Mitsubishi Canter FE71/PS125 2005-2020,ABS,0.35,Rp 265.000,Rp 212.000,16,Baru,MK334970,"Mitsubishi tail light, DOT certified",
Lampu Stop Toyota Dyna,LS-T01,Toyota,Lampu,Toyota Dyna Rino 110/130 2003-2018,Plastic+Glass,0.36,Rp 255.000,Rp 204.000,18,Baru,81550-37090,"Toyota stop lamp, E-mark approved",
Radiator Hino Dutro 300,RAD-H01,Hino,Cooling,Hino Dutro 300 2008-2024,Aluminum,4.5,Rp 2.850.000,Rp 2.280.000,3,Baru,16041-3712,"Radiator complete, Tank plastik, O ring seal",
Radiator Isuzu NKR71,RAD-I01,Isuzu,Cooling,Isuzu NKR71 2010-2022,Aluminum,4.2,Rp 2.650.000,Rp 2.120.000,4,Baru,8973543650,"Radiator assy, Core aluminum, Tank plastik",
Radiator Mitsubishi Canter FE71,RAD-M01,Mitsubishi,Cooling,Mitsubishi Canter FE71/PS125 2005-2020,Aluminum+Copper,4.0,Rp 2.450.000,Rp 1.960.000,5,Baru,ME298596,"Canter radiator, Fin type, Heavy duty",
Radiator Toyota Dyna Rino,RAD-T01,Toyota,Cooling,Toyota Dyna Rino 110/130 2003-2018,Aluminum,3.8,Rp 2.150.000,Rp 1.720.000,6,Baru,16400-37030,"Dyna radiator, Brazed core, OEM spec",
Thermostat Hino Dutro,THER-H01,Hino,Engine,Hino Dutro 300 2008-2024,Metal,0.2,Rp 125.000,Rp 100.000,30,Baru,90916-03384,"82°C opening, Wax pellet type",
Thermostat Isuzu NKR,THER-I01,Isuzu,Engine,Isuzu NKR/NPR 2010-2022,Steel+Copper,0.18,Rp 115.000,Rp 92.000,35,Baru,8943614020,"76°C rating, Heavy duty",
Thermostat Mitsubishi Canter,THER-M01,Mitsubishi,Engine,Mitsubishi Canter FE71/PS125 2005-2020,Brass,0.22,Rp 135.000,Rp 108.000,28,Baru,ME200262,"82°C standard, Complete with gasket",
Thermostat Toyota Dyna,THER-T01,Toyota,Engine,Toyota Dyna Rino 110/130 2003-2018,Stainless,0.19,Rp 105.000,Rp 84.000,40,Baru,90916-03046,"80°C opening, Quality aftermarket"
